aff_txkbps	cpu
35072.2	10.5067
48892.3	12.0633
67979.2	13.9567
11306.7	8.35
35682.3	10.9517
39580.5	7.67333
55409.1	13.5167
19187.5	11.55
4635.94	4.57667
46815.3	11.2733
61137.1	10.8433
35306.2	10.5517
7560.74	6.96
85600	15.0433
126349	18.58
59467.6	11.3467
55016.8	11.4833
103207	18.3133
91350.9	16.44
88072.9	16.6172
80493.8	16.0633
25613.1	7.35333
71836.4	13.2867
64045.6	12.4333
45152.3	13.7867
84246.1	16.94
93681	16.2172
126481	19.9533
37406.5	8.79667
20358.5	6.32
14600.8	6.85
28569.6	7.52667
25224.6	7.84667
27151.6	10.3267
