aff_rxkbps cpu aff_rxkbps cpu
28856.4 37.7733 35064.4 32.92
54329.3 47.5667 48895.9 35.0167
72322.2 61.0233 67979.2 41.5467
10578.4 20.7567 11306.7 20.86
37795 34.8759 35682.3 30.731
42711.3 28.68 39580.5 19.3567
42558.3 42.6367 55409.1 40.6667
21913.8 30.8467 19187.5 32.35
5848.27 8.79333 4635.94 9.37333
34681.3 32.5533 46815.3 35.1667
53698.9 35.01 61137.1 29.9867
29437.3 29.2724 35306.2 29.669
8391.71 14.26 7560.74 17.2167
60530.1 49.29 85600 46.1167
62153.7 40.9467 126349 56.83
50932.5 34.9167 59467.6 31.99
44504.6 33.0167 55016.8 33.5733
66921.3 47.76 103207 58.2267
63449.9 45.0233 91350.9 51.2
65623.7 48.2828 88072.9 52.1931
49948.5 38.6933 80493.8 49.9967
14808.3 14.0833 25613.1 18.6833
54174.2 38.1 71836.4 39.63
45895.5 33.01 64045.6 36.28
33179.6 34.7767 45152.3 40.9033
58596.9 44.84 84228.2 51.7267
67328.7 45.27 93698.8 49.7034
76406.2 50.7621 126482 63.0567
24203.3 18.9367 37406.5 23.4167
21456.8 17.82 20358.4 15.2433
9971.56 11.9967 14600.8 17.32
16630.3 16.01 28569.6 19.41
21410.5 20.5533 25224.6 19.9933
17054.9 19.81 27151.6 28.9833
